id_municipio,sigla_uf,risco_medio,alunos,criancas_em_risco,nome_municipio_ibge
3522505,SP,0.3862919004395612,3363,1299.0996611782443,Itapevi
3510609,SP,0.31786920776623473,4079,1296.5884984784714,Carapicuíba
3551009,SP,0.4379020155869552,2955,1294.0004560594525,São Vicente
4125506,PR,0.33325952337371845,3862,1287.0482792693006,São José dos Pinhais
2604106,PE,0.39570111178229944,3241,1282.4673032864325,Caruaru
3106705,MG,0.2886787553029264,4432,1279.4242435025699,Betim
2925303,BA,0.5614750420644413,2257,1267.249169939444,Porto Seguro
4300604,RS,0.6124432072431067,2047,1253.6712452266395,Alvorada
2611101,PE,0.261613827117445,4737,1239.2646990553371,Petrolina
2903201,BA,0.6128810150937938,1999,1225.1491491724937,Barreiras
3515004,SP,0.43682131798387536,2795,1220.9155837649316,Embu das Artes
4314407,RS,0.5950529477249747,2041,1214.5030663066734,Pelotas
4318705,RS,0.5858103061186185,2056,1204.4259893798796,São Leopoldo
5200258,GO,0.41959973238638626,2851,1196.2788370335873,Águas Lindas de Goiás
2913606,BA,0.6868903956086141,1734,1191.0679459853368,Ilhéus
2105302,MA,0.4399369515833643,2704,1189.5895170814172,Imperatriz
2804805,SE,0.6526611906512064,1810,1181.3167550786836,Nossa Senhora do Socorro
4313409,RS,0.5630779911050634,2094,1179.0853133740027,Novo Hamburgo
1721000,TO,0.3644906638681801,3227,1176.211372302617,Palmas
4211900,SC,0.48066753913960925,2412,1159.3701044047375,Palhoça
3513009,SP,0.4024479633777088,2880,1159.0501345278012,Cotia
3538709,SP,0.3232670246172874,3540,1144.3652671451973,Piracicaba
4105805,PR,0.3753729023869045,3043,1142.2597419633505,Colombo
3301900,RJ,0.45289528753878017,2501,1132.6911141344892,Itaboraí
2700300,AL,0.45799582357876534,2457,1125.2957385330265,Arapiraca
3505708,SP,0.2595104022719073,4331,1123.9395522396305,Barueri
3302403,RJ,0.3785051811500196,2954,1118.1043051171578,Macaé
4202404,SC,0.3175582386420444,3449,1095.258365076411,Blumenau
3303302,RJ,0.42535722554038347,2516,1070.1987794596048,Niterói
3513801,SP,0.299134488606507,3567,1067.0127208594104,Diadema
3554102,SP,0.4318289064763148,2450,1057.9808208669713,Taubaté
4204202,SC,0.3611271878198151,2929,1057.7415331242385,Chapecó
3552809,SP,0.43034076409768346,2431,1046.1583975214685,Taboão da Serra
2919553,BA,0.6233106119800413,1639,1021.6060930352878,Luís Eduardo Magalhães
4108304,PR,0.28951233734376036,3528,1021.3995261487865,Foz do Iguaçu
4314100,RS,0.5743722947556836,1770,1016.6389617175599,Passo Fundo
4208203,SC,0.3787049770689198,2681,1015.308043521774,Itajaí
5107909,MT,0.35438119026248666,2820,999.3549565402124,Sinop
4316907,RS,0.5642631234325916,1764,995.3601497350915,Santa Maria
1702109,TO,0.46390333597267647,2092,970.4857788548392,Araguaína
3170107,MG,0.33517086166234855,2888,967.9734484808625,Uberaba
3300704,RJ,0.4051304404948594,2369,959.754013532322,Cabo Frio
2408003,RN,0.5401942487101518,1772,957.2242087143889,Mossoró
3516309,SP,0.4388811698572131,2173,953.6887820997241,Francisco Morato
3143302,MG,0.22796977252857784,4163,949.0381630364695,Montes Claros
3506003,SP,0.3411474742770618,2731,931.6737522506559,Bauru
5107602,MT,0.303903675257237,3054,928.1218242356018,Rondonópolis
1500107,PA,0.6164532800718379,1500,924.6799201077569,Abaetetuba
2919207,BA,0.6876242294728422,1337,919.35359480519,Lauro de Freitas
3519071,SP,0.3766740242558778,2440,919.0846191843418,Hortolândia
3548500,SP,0.38694536338594027,2370,917.0605112246784,Santos
3552403,SP,0.35208406114531426,2580,908.3768777549108,Sumaré
2303709,CE,0.25191347860577873,3586,903.3617342803225,Caucaia
4104808,PR,0.2551389620211906,3523,898.8545632006543,Cascavel
2403251,RN,0.5901764697379406,1522,898.2485869411456,Parnamirim
3524402,SP,0.4247479267042706,2112,897.0676211994195,Jacareí
3525904,SP,0.2500778955427727,3569,892.5280091921559,Jundiaí
3306305,RJ,0.35156276542459086,2537,891.914735882187,Volta Redonda
2931350,BA,0.6188827174337636,1403,868.2924525595703,Teixeira de Freitas
5201108,GO,0.24712140094414078,3473,858.2526254790009,Anápolis
4115200,PR,0.23640777697583076,3617,855.0869293215799,Maringá
4119905,PR,0.24980135596854672,3399,849.0748089370903,Ponta Grossa
1500602,PA,0.5477685078655666,1548,847.9456501758971,Altamira
3302700,RJ,0.3673884364986569,2287,840.2173542724282,Maricá
2609600,PE,0.3351596613735388,2502,838.5694727565941,Olinda
4216602,SC,0.3744517879004925,2234,836.5252941697003,São José
1501303,PA,0.5832081952727339,1434,836.3205520211004,Barcarena
2602902,PE,0.4278673356931605,1924,823.2167538736408,Cabo de Santo Agostinho
4315602,RS,0.5720718506945863,1432,819.2068901946476,Rio Grande
2307304,CE,0.3553437985656734,2290,813.7372987153921,Juazeiro do Norte
1502103,PA,0.625123554557117,1296,810.1601267060237,Cametá
2924009,BA,0.6773209760240734,1193,808.0439243967195,Paulo Afonso
3302007,RJ,0.5732644156965965,1408,807.1562973008079,Itaguaí
5212501,GO,0.2900992125787881,2768,802.9946204180856,Luziânia
1503606,PA,0.38326394924177665,2074,794.8894307274447,Itaituba
3516200,SP,0.23477097818057807,3375,792.352051359451,Franca
2111201,MA,0.4028315936102616,1961,789.952755069723,São José de Ribamar
