id_municipio,populacao,pib_per_capita,pct_vab_adm_publica
2104099,19425.0,10406.640926640926,40.1
2104107,12662.0,27380.745537829727,16.33
2104206,17812.0,8044.969683359533,46.77
2104305,12104.0,219653.66820885657,2.08
2104404,17953.0,8358.547317996992,47.36
2104503,10931.0,8407.647973652915,52.57
2104552,18740.0,20010.032017075773,26.62
2104602,14703.0,8054.546691151466,49.17
2104628,7878.0,9022.594567149023,48.12
2104651,10121.0,8316.569508941804,51.76
2104677,25502.0,10115.755627009647,43.03
2104701,6261.0,8649.257307139434,52.22
2104800,70692.0,16263.976121767668,24.88
2104909,11966.0,7804.863780712018,54.25
2105005,29143.0,6326.150362008029,64.97
2105104,27423.0,6524.559676184225,65.55
2105153,14470.0,25615.272978576366,22.82
2105203,11453.0,10279.22814982974,48.15
2105302,259980.0,29590.368489883836,18.62
2105351,16158.0,6639.7450179477655,59.92
2105401,69233.0,11162.740311701067,38.74
2105427,26134.0,18719.90510446162,22.46
2105450,10464.0,7233.275993883792,56.18
2105476,17123.0,7342.930561233428,55.75
2105500,23677.0,11429.277357773366,42.79
2105609,16228.0,7181.599704214937,51.37
2105658,4334.0,14236.5020766036,40.24
2105708,50959.0,10800.91838536863,36.87
2105807,10900.0,7948.440366972477,60.44
2105906,16369.0,8292.076486040687,53.54
2105922,11280.0,8599.82269503546,48.22
2105948,8841.0,9499.264789051012,43.99
2105963,11534.0,8880.873937922663,49.92
2105989,7653.0,13258.460734352542,37.68
2106003,11943.0,22987.440341622707,24.21
2106102,12271.0,33678.021351153126,12.82
2106201,7016.0,8172.320410490308,54.97
2106300,20228.0,6968.657306703579,53.57
2106326,21773.0,9579.47917145088,39.41
2106359,7757.0,11706.071935026428,43.08
2106375,16754.0,7216.784051569774,52.6
2106409,17122.0,10465.833430673987,49.36
2106508,23591.0,8339.790598109448,50.67
2106607,34099.0,7517.727792603889,55.38
2106631,17316.0,5735.446985446985,69.06
2106672,8502.0,7567.748764996471,52.97
2106706,21045.0,13200.807792824899,29.07
2106755,29121.0,27079.427217471926,16.67
2106805,15059.0,7440.733116408792,53.7
2106904,33888.0,7602.543673276676,54.43
2107001,9064.0,9541.813768755517,41.72
2107100,19708.0,7605.997564440836,58.51
2107209,14826.0,5970.120059355187,70.31
2107258,5469.0,15803.071859572134,31.84
2107308,4682.0,10885.519008970525,46.2
2107357,21228.0,8627.378933484079,52.73
2107407,19616.0,9602.518352365416,49.75
2107456,14968.0,7167.423837520043,58.09
2107506,125265.0,9901.800183610745,40.6
2107605,19840.0,7011.038306451613,60.3
2107704,21571.0,8499.976820731537,45.75
2107803,35108.0,9198.558733052296,45.53
2107902,19253.0,10392.562198098998,39.85
2108009,19693.0,15716.193571319758,31.77
2108058,16295.0,7261.491254986192,64.52
2108108,21092.0,9204.437701498198,49.26
2108207,39153.0,20117.487804255103,20.87
2108256,25560.0,6176.173708920188,65.4
2108306,38987.0,6508.220688947598,58.68
2108405,14371.0,6675.666272354047,61.33
2108454,23530.0,9792.902677433065,47.18
2108504,33186.0,8924.968360151872,50.78
2108603,84160.0,12356.618346007604,33.51
2108702,21274.0,8993.46620287675,50.32
2108801,18814.0,6950.356117784629,63.84
2108900,17321.0,9414.929853934531,47.45
2109007,24294.0,42235.77838149337,12.45
2109056,5936.0,7725.067385444744,56.85
2109106,48264.0,15657.612299022045,27.04
2109205,12939.0,6529.020789860113,59.49
2109239,7124.0,8517.967434025828,49.53
2109270,19217.0,8584.482489462454,57.58
2109304,11328.0,6723.693502824859,70.19
2109403,15545.0,5730.6529430685105,68.46
2109452,31586.0,9059.48838092826,44.18
2109502,20288.0,33182.02878548896,14.05
2109551,7859.0,15802.51940450439,28.36
2109601,43243.0,10248.502647827394,40.27
2109700,5686.0,83486.28209637706,5.78
2109759,7878.0,7641.914191419142,54.5
2109809,42829.0,8357.678208690373,53.64
2109908,89927.0,16301.36666407197,28.57
2110005,73105.0,10169.208672457424,42.76
2110039,25487.0,9939.65551065249,38.3
2110104,25884.0,8439.383402874362,54.07
2110203,38732.0,9156.020861303316,45.69
2110237,13704.0,5406.4506713368355,65.5
2110278,16219.0,5914.791294161169,65.03
2110302,14516.0,210494.2821713971,3.22
2110401,18769.0,7642.229207736161,62.77
2110500,45989.0,6787.710104590228,58.19
2110609,28825.0,9754.622723330442,45.96
2110658,7448.0,43034.64017185822,11.74
2110708,34391.0,10349.102962984502,39.54
2110807,4540.0,18977.533039647577,26.5
2110856,12082.0,10035.83843734481,42.49
2110906,12226.0,8095.288728938328,54.45
2111003,20736.0,6539.110725308642,58.4
2111029,15768.0,7800.989345509894,58.77
2111052,11207.0,13514.589096100652,32.64
2111078,18746.0,8340.979408940573,57.39
2111102,26063.0,13082.530790776196,32.2
2111201,180345.0,12718.594915301228,31.01
2111250,7639.0,8108.391150674172,50.93
